x,high-density-apartments,low-density-apartments,medium-density-apartments
1.00763,14.723,68.795,42.696
2,15.1,69.039,43.341
2.00382,15.104,69.047,43.341
3.00382,17.217,75.658,44.503
3.00763,17.228,75.706,44.521
4,20.498,91.684,54.401
4.00382,20.512,91.743,54.456
4.01145,20.539,91.861,54.567
5,24.396,105.579,68.924
5.00382,24.414,105.639,68.966
6.00382,29.042,121.799,75.232
6.00763,29.056,121.847,75.249
6.01527,29.084,121.943,75.283
7.00382,30.102,124.233,78.152
7.00763,30.094,124.194,78.148
8,25.745,106.101,70.685
8.00382,25.724,106.026,70.633
8.01527,25.661,105.801,70.474
9,20.551,88.94,54.919
9.00763,20.515,88.811,54.815
10.00382,17.047,74.095,47.028
10.00763,17.04,74.064,47.017
11,16.492,72.434,46.2
11.00382,16.489,72.433,46.195
11.00763,16.487,72.433,46.19
12,15.012,70.134,42.83
12.01145,14.99,70.095,42.78
